PING 129.70.141.143 (129.70.141.143) 56(84) bytes of data.
64 bytes from 129.70.141.143: icmp_seq=82 ttl=64 time=8.97 ms
64 bytes from 129.70.141.143: icmp_seq=83 ttl=64 time=8.43 ms
64 bytes from 129.70.141.143: icmp_seq=84 ttl=64 time=7.59 ms
64 bytes from 129.70.141.143: icmp_seq=86 ttl=64 time=4.88 ms
64 bytes from 129.70.141.143: icmp_seq=87 ttl=64 time=20.3 ms
64 bytes from 129.70.141.143: icmp_seq=88 ttl=64 time=18.1 ms
64 bytes from 129.70.141.143: icmp_seq=89 ttl=64 time=9.22 ms
64 bytes from 129.70.141.143: icmp_seq=90 ttl=64 time=15.8 ms
64 bytes from 129.70.141.143: icmp_seq=91 ttl=64 time=22.7 ms
64 bytes from 129.70.141.143: icmp_seq=92 ttl=64 time=13.6 ms
64 bytes from 129.70.141.143: icmp_seq=93 ttl=64 time=19.2 ms
64 bytes from 129.70.141.143: icmp_seq=94 ttl=64 time=16.1 ms
64 bytes from 129.70.141.143: icmp_seq=95 ttl=64 time=7.49 ms
64 bytes from 129.70.141.143: icmp_seq=96 ttl=64 time=13.4 ms
64 bytes from 129.70.141.143: icmp_seq=97 ttl=64 time=4.66 ms
64 bytes from 129.70.141.143: icmp_seq=98 ttl=64 time=11.9 ms
64 bytes from 129.70.141.143: icmp_seq=99 ttl=64 time=17.1 ms
64 bytes from 129.70.141.143: icmp_seq=100 ttl=64 time=17.8 ms
64 bytes from 129.70.141.143: icmp_seq=101 ttl=64 time=13.7 ms
64 bytes from 129.70.141.143: icmp_seq=102 ttl=64 time=12.5 ms
64 bytes from 129.70.141.143: icmp_seq=103 ttl=64 time=18.1 ms
64 bytes from 129.70.141.143: icmp_seq=104 ttl=64 time=17.2 ms
64 bytes from 129.70.141.143: icmp_seq=105 ttl=64 time=15.6 ms
64 bytes from 129.70.141.143: icmp_seq=106 ttl=64 time=6.31 ms
64 bytes from 129.70.141.143: icmp_seq=107 ttl=64 time=20.5 ms
64 bytes from 129.70.141.143: icmp_seq=108 ttl=64 time=26.1 ms
64 bytes from 129.70.141.143: icmp_seq=109 ttl=64 time=18.0 ms
64 bytes from 129.70.141.143: icmp_seq=110 ttl=64 time=8.63 ms
64 bytes from 129.70.141.143: icmp_seq=111 ttl=64 time=14.6 ms
64 bytes from 129.70.141.143: icmp_seq=112 ttl=64 time=13.0 ms
64 bytes from 129.70.141.143: icmp_seq=113 ttl=64 time=4.05 ms
64 bytes from 129.70.141.143: icmp_seq=114 ttl=64 time=19.1 ms
