fpr,tpr,mr,filename
0.113138,0.881798,0.552002,hokuyo_2_hector_mapping__map_resolution_0.1_map_size_96_map_update_distance_thresh_0.4_map_update_angle_thresh_0.9.pgm,gt_wallthickness_20_resolution_0.025.png
0.003285,0.546481,0.963247,sick_1_gmapping__particles_20_minimumScore_0.01_map_update_interval_2.0_delta_0.025.pgm,gt_wallthickness_26_resolution_0.05.png
0.035809,0.796788,0.834604,hokuyo_1_gmapping__particles_50_minimumScore_0.3_map_update_interval_2.0_delta_0.05.pgm,gt_wallthickness_34_resolution_0.025.png
0.030000,0.756792,0.675659,sick_1_gmapping__particles_75_minimumScore_0.0_map_update_interval_2.0_delta_0.05.pgm,gt_wallthickness_11_resolution_0.025.png
0.026303,0.785129,0.784886,sick_2_gmapping__particles_75_minimumScore_0.01_map_update_interval_2.0_delta_0.05.pgm,gt_wallthickness_18_resolution_0.025.png
0.045746,0.936553,0.831030,sick_2_hector_mapping__map_resolution_0.1_map_size_96_map_update_distance_thresh_0.7_map_update_angle_thresh_1.3.pgm,gt_wallthickness_34_resolution_0.025.png
0.054699,0.921031,0.770721,sick_2_gmapping__particles_50_minimumScore_0.0_map_update_interval_8_delta_0.1.pgm,gt_wallthickness_28_resolution_0.025.png
0.019345,0.773190,0.823333,sick_1_gmapping__particles_75_minimumScore_0.01_map_update_interval_5.0_delta_0.05.pgm,gt_wallthickness_18_resolution_0.025.png
0.009893,0.699889,0.939079,sick_2_gmapping__particles_75_minimumScore_0.01_map_update_interval_5.0_delta_0.05.pgm,gt_wallthickness_33_resolution_0.1.png
0.037722,0.922454,0.852675,sick_2_hector_mapping__map_resolution_0.1_map_size_96_map_update_distance_thresh_0.7_map_update_angle_thresh_0.9.pgm,gt_wallthickness_34_resolution_0.025.png
0.061721,0.886444,0.694892,hokuyo_2_hector_mapping__map_resolution_0.05_map_size_192_map_update_distance_thresh_0.1_map_update_angle_thresh_0.9.pgm,gt_wallthickness_20_resolution_0.025.png
0.028079,0.591707,0.673693,hokuyo_2_gmapping__particles_50_minimumScore_0.3_map_update_interval_2.0_delta_0.025.pgm,gt_wallthickness_15_resolution_0.05.png
0.010464,0.728407,0.932005,sick_2_gmapping__particles_75_minimumScore_0.3_map_update_interval_2.0_delta_0.05.pgm,gt_wallthickness_28_resolution_0.025.png
